"Nr. Ctr.","Adresa","Nr","Sector","Anul construirii","Regimul de inaltime","Numar de apartamente","Anul Elaborarii Expertizei Tehnice","Expertul tehnic atestat pentru cerinta esentiala de calitate-rezistenta mecanica si stabilitate - M.D.L.P.A.","Ultima incadrare in clasa de risc","Incadrari anterioare in clasa de risc","Observatii"
"1","Strada ACADEMIEI","1","Sector 3","1905","S+P+2E","0","1993","Ion VARSA","1.Clasa de risc seismic RsI.",,
"2","Strada ACADEMIEI","15","Sector 1","1890","S+P+3E","10","1995","Mircea IEREMIA","1.Clasa de risc seismic RsI.",,
"3","Strada ACADEMIEI (Hotelul MUNTENIA)","19÷21 (corp A+B)","Sector 1","1935","S+P+Mz+5E S+P+4E","0","2005","Ion NEGESCU","1.Clasa de risc seismic RsI.",,"Incadrare in clasa de risc seismic in anul 2005"
"4","Strada ACADEMIEI (imobil cu destinaTia de birouri  PRIMARIA MUNICIPIULUI BUCURESTI)","3÷5","Sector 3","1906","2S+P+3E","0","2012","ing. Mihai URSACHESCU","1.Clasa de risc seismic RsI.",,
"5","Strada Alexandru Beldiman","1","Sector 5","1935-1947","S+P+9E","82","2023","Mircea BARNAURE","1.Clasa de risc seismic RsI.","RsI-2018-Dumitru POPESCU;   RsI-1993-Radu DIAMANDOPOL ","Reexpertizat tehnic in anul 2018"
"6","Bulevardul ALEXANDRU IOAN CUZA","9","Sector 1","1929","S+P+2E+Ma","6","1993","Eugeniu IORDACHESCU","1.Clasa de risc seismic RsI.",,
"7","PiaTa ALEXANDRU LAHOVARI","5A","Sector 1","1935","P+7E","18","1997","Stelian PICULESCU","1.Clasa de risc seismic RsI.",,
"8","Strada ALEXANDRU XENOPOL","3","Sector 1","1940","S+P+8E","37","1994","Gabriel NICULESCU","1.Clasa de risc seismic RsI.",,
"9","Strada ARCULUI","4","Sector 2","1932","S+P+7E","26","2000","Niculae NEER","1.Clasa de risc seismic RsI.",,
"10","Strada ARMENEASCA","17A","Sector 2","1933","S+P+3E+Ma","11","2023","    Mihai Ursăchescu","1.Clasa de risc seismic RsI.","Încadrare în clasa de risc seismic RSI în anul 1995 expert Armand Nefian",
"11","Strada ARMENEASCA","28","Sector 2","1935","P+5E+Ma","20","1999","Mariana STOENESCU","1.Clasa de risc seismic RsI.",,
"12","Strada ARMENEASCA","28A","Sector 2","1935","P+5E","20","1999","Dinu CIOBOTARIU","1.Clasa de risc seismic RsI.",,
"13","Strada AUREL VLAICU","55","Sector 2","1940","S+P+4E","11","1993","Dan STANCIULESCU","1.Clasa de risc seismic RsI.",,
"15","Strada BAIA DE FIER","1","Sector 3","1885","S+P+1E+Ma","3","1993","Laurentiu SPOIALA","1.Clasa de risc seismic RsI.",,
"16","Strada BAIA DE FIER","1A","Sector 3","1883","S+P+1E+Ma","4","1993","Laurentiu SPOIALA","1.Clasa de risc seismic RsI.",,
"17","Strada BAIA DE FIER","4","Sector 3","1922","S+P+2E","3","1995","Laurentiu SPOIALA","1.Clasa de risc seismic RsI.",,
"18","Strada BAIA DE FIER","6","Sector 3","1930","S+P+2E+Pod","11","1993","Laurentiu SPOIALA","1.Clasa de risc seismic RsI.",,
"19","Strada BAIA DE FIER","5","Sector 3","inainte de 1880","S PARTIAL+P+1E",,"2019","Catalin STEFAN","1.Clasa de risc seismic RsI.","Imobilul a mai fost incadrat  in U3; expertiza tehnica in an 1993  M. Cioculescu","Reexpertizat tehnic in anul 2019"
"20","Strada BALTAGULUI","17","Sector 5","1960","P+2E","12","2022","Andrei Dragoș Marcu","1.Clasa de risc seismic RsI.","Imobilul a mai fost incadrat in RSII; expertiza tehnica in an 2011 – DAN POPESCU;  Încadrare RSI în anul 2022 expert atestat Andrei Dragoș Marcu.","Reincadrare in RsI in anul 2018 (Imobilul a mai fost incadrat in RsII de expertul tehnic atestat M.D.R.A.P. Dan POPESCU).  Actualizare expertiză în anul 2022 expert atestat Andrei Dragoș Marcu."
"21","Strada BANIEI (fosta Strada SFANTUL GHEORGHE NOU)","1","Sector 3","1935","S+P+5E+Ma","10","2014","Niculae TEODOR","1.Clasa de risc seismic RsI.",,"Incadrare in clasa de risc seismic in anul 2014"
"22","Strada BARATIEI","29","Sector 3","1910","S+P+2E+Ma","3","1993","Laurentiu SPOIALA","1.Clasa de risc seismic RsI.",,
"23","Strada BARATIEI","37","Sector 3","1900","S+P+1E+Ma","5","1993","Mircea CONDRUT","1.Clasa de risc seismic RsI.",,
"24","Strada BARATIEI","41","Sector 3","1885","S+P+1E","3","1993","Ion LUNGU","1.Clasa de risc seismic RsI.",,
"25","Strada BARATIEI","42B","Sector 3","1920","S+P+2E+Pod","1","1993","Laurentiu SPOIALA","1.Clasa de risc seismic RsI.",,
"26","Strada BARATIEI","44","Sector 3","1935","S+P+Mz+2E+Ma","7","1993","Laurentiu SPOIALA","1.Clasa de risc seismic RsI.",,
"27","Strada BARATIEI","50","Sector 3","1824","S+P+1E","-","2019","Ionel BELGUN","1.Clasa de risc seismic RsI.","Imobilul a mai fost incadrat  in RSI; expertiza tehnica in an 1993  de expertul tehnic LAURENTIU SPOIALA","Incadrat in CLASA RsI DE RISC SEISMIC in anul 2019"
"28","Strada BATISTE","5","Sector 2","1933","2S+P+10E","26","1993","Emilian TITARU","1.Clasa de risc seismic RsI.",,
"29","Strada BATISTE (Sediul ARCUB; Restaurantul BUREBISTA)","14","Sector 2","1932÷1934","2S+Ds+P+3E+Pod","0","2015","Tudor ANDRITOIU","1.Clasa de risc seismic RsI.",,
"30","Strada BIBESCU VODA nr. 24; corp A; sector 4","24 (corp A)","Sector 4","1929","S+P+2E+Ma","4","1994","Traian VINTILA. Liviu POPP","1.Clasa de risc seismic RsI.",,
"31","Strada BISERICA AMZEI","8","Sector 1","1935","P+4E+Ma","20","1997","Iorgu NICULA","1.Clasa de risc seismic RsI.",,
"32","Strada BISERICA ENEI","14","Sector 1","1936","S+P+5E","26","1993","Eugeniu IORDACHESCU","1.Clasa de risc seismic RsI.",,
